date, - values
1998-07-15,0.07465522736310959
1998-08-15,0.024750452488660812
1998-09-15,-0.04919629544019699
1998-10-15,0.0038150392938405275
1998-11-15,-0.05349835008382797
1998-12-15,-0.11830121278762817
1999-01-15,-0.14112034440040588
1999-02-15,-0.15134070813655853
1999-03-15,-0.12117694318294525
1999-04-15,-0.1091759204864502
1999-05-15,-0.11104325950145721
1999-06-15,-0.10913688689470291
1999-07-15,-0.13761715590953827
1999-08-15,-0.14385618269443512
1999-09-15,-0.1924060881137848
1999-10-15,-0.23858866095542908
1999-11-15,-0.20466865599155426
1999-12-15,-0.145355224609375
2000-01-15,-0.13397710025310516
2000-02-15,-0.14864900708198547
2000-03-15,-0.19619479775428772
2000-04-15,-0.09627179056406021
2000-05-15,-0.1149950698018074
2000-06-15,-0.16931818425655365
2000-07-15,-0.06116567179560661
2000-08-15,-0.08432848006486893
2000-09-15,-0.13356754183769226
2000-10-15,-0.10043622553348541
2000-11-15,-0.13265778124332428
2000-12-15,-0.122001513838768
2001-01-15,-0.01902625523507595
2001-02-15,-0.026404721662402153
2001-03-15,0.03473789989948273
2001-04-15,-0.07395607233047485
2001-05-15,0.042281731963157654
2001-06-15,0.1006174236536026
2001-07-15,0.03080378659069538
2001-08-15,-0.07862251251935959
2001-09-15,0.0026992305647581816
2001-10-15,0.013278339058160782
2001-11-15,0.022994589060544968
2001-12-15,0.03673417866230011
2002-01-15,0.0739353597164154
2002-02-15,0.006853366736322641
2002-03-15,0.01598179154098034
2002-04-15,-0.006739039905369282
2002-05-15,0.0521358996629715
2002-06-15,0.06050441786646843
2002-07-15,-0.03657883405685425
2002-08-15,-0.06880421936511993
2002-09-15,-0.011427226476371288
2002-10-15,0.03452226147055626
2002-11-15,0.03832300379872322
2002-12-15,0.048303693532943726
2003-01-15,0.027640076354146004
2003-02-15,0.033939626067876816
2003-03-15,0.03764643892645836
2003-04-15,0.011237286031246185
2003-05-15,-0.060779448598623276
2003-06-15,0.050511185079813004
2003-07-15,0.044379573315382004
2003-08-15,0.05821904540061951
2003-09-15,0.062359899282455444
2003-10-15,0.0694553554058075
2003-11-15,0.08620285987854004
2003-12-15,0.06238036975264549
2004-01-15,0.09071697294712067
2004-02-15,0.09681142866611481
2004-03-15,0.021156273782253265
2004-04-15,-0.00027486588805913925
2004-05-15,-0.0821111872792244
2004-06-15,-0.031103702262043953
2004-07-15,-0.016611170023679733
2004-08-15,0.009490303695201874
2004-09-15,0.027245037257671356
2004-10-15,0.0600845068693161
2004-11-15,0.0845748782157898
2004-12-15,0.1050737127661705
2005-01-15,0.08889416605234146
2005-02-15,0.06530772894620895
2005-03-15,0.11444762349128723
2005-04-15,0.02382773719727993
2005-05-15,0.0779256522655487
2005-06-15,0.009814933873713017
2005-07-15,0.01181595865637064
2005-08-15,0.059830039739608765
2005-09-15,0.02399688959121704
2005-10-15,0.04016256332397461
2005-11-15,0.010308020748198032
2005-12-15,0.015577206388115883
2006-01-15,0.030977077782154083
2006-02-15,0.027354512363672256
2006-03-15,-0.009170740842819214
2006-04-15,0.02468283288180828
2006-05-15,0.0044884225353598595
2006-06-15,0.023390166461467743
2006-07-15,-0.022346219047904015
2006-08-15,0.02876545675098896
2006-09-15,0.05902693793177605
2006-10-15,0.03307443484663963
2006-11-15,0.05524779111146927
2006-12-15,0.08027563989162445
2007-01-15,0.05698211491107941
2007-02-15,0.06701791286468506
2007-03-15,-0.01432884018868208
2007-04-15,-0.02236403152346611
2007-05-15,-0.027008751407265663
2007-06-15,-0.0020150786731392145
2007-07-15,-0.06906157732009888
2007-08-15,-0.09515140950679779
2007-09-15,-0.10002251714468002
2007-10-15,-0.09288489818572998
2007-11-15,-0.19608375430107117
2007-12-15,-0.21681460738182068
2008-01-15,-0.15090851485729218
2008-02-15,-0.12898588180541992
2008-03-15,-0.09179476648569107
2008-04-15,-0.12611263990402222
2008-05-15,-0.1392531841993332
2008-06-15,-0.1141800656914711
2008-07-15,-0.014656701125204563
2008-08-15,-0.030508803203701973
2008-09-15,-0.016432318836450577
2008-10-15,0.00645272945985198
2008-11-15,-0.059198182076215744
2008-12-15,-0.041107501834630966
2009-01-15,-0.050779420882463455
2009-02-15,-0.012555302120745182
2009-03-15,-0.050445932894945145
2009-04-15,-0.04900507256388664
2009-05-15,0.0022962410002946854
2009-06-15,0.09378621727228165
2009-07-15,0.07903334498405457
2009-08-15,0.07204544544219971
2009-09-15,0.03395509719848633
2009-10-15,0.11717910319566727
2009-11-15,0.08477932214736938
2009-12-15,0.1575903296470642
2010-01-15,0.13613085448741913
2010-02-15,0.20315732061862946
2010-03-15,0.18642891943454742
2010-04-15,0.10379011183977127
2010-05-15,0.05734890699386597
2010-06-15,0.11894015967845917
2010-07-15,0.09012759476900101
2010-08-15,0.037344418466091156
2010-09-15,0.00416560610756278
2010-10-15,-0.0012289753649383783
2010-11-15,-0.06705004721879959
2010-12-15,-0.0644407719373703
2011-01-15,-0.0850735604763031
2011-02-15,0.02026207186281681
2011-03-15,0.03061445988714695
2011-04-15,-0.044958535581827164
2011-05-15,0.029261695221066475
2011-06-15,-0.0605258010327816
2011-07-15,-0.053785182535648346
2011-08-15,-0.05343817174434662
2011-09-15,-0.07623178511857986
2011-10-15,-0.08209221065044403
2011-11-15,-0.09314384311437607
2011-12-15,-0.1441592127084732
2012-01-15,-0.03937135636806488
2012-02-15,-0.10064493119716644
2012-03-15,-0.021116314455866814
2012-04-15,-0.078900046646595
2012-05-15,-0.044631827622652054
2012-06-15,-0.04996892064809799
2012-07-15,0.08741102367639542
2012-08-15,0.08288808912038803
2012-09-15,0.08904001116752625
2012-10-15,0.12634463608264923
2012-11-15,0.09206361323595047
2012-12-15,0.08394338935613632
2013-01-15,0.0808110311627388
2013-02-15,0.04331091418862343
2013-03-15,0.052478767931461334
2013-04-15,0.04840199649333954
2013-05-15,0.01118392776697874
2013-06-15,-0.008034243248403072
2013-07-15,0.0705789178609848
2013-08-15,0.10246498137712479
2013-09-15,0.13874338567256927
2013-10-15,0.06027258560061455
2013-11-15,0.07339680939912796
2013-12-15,0.0744970291852951
2014-01-15,0.06702772527933121
2014-02-15,0.04221273213624954
2014-03-15,0.11246538162231445
2014-04-15,0.09251667559146881
2014-05-15,0.12233682721853256
2014-06-15,0.13965222239494324
2014-07-15,0.16418150067329407
2014-08-15,0.18481722474098206
2014-09-15,0.24285537004470825
2014-10-15,0.1656867116689682
2014-11-15,0.17085950076580048
2014-12-15,0.10840067267417908
2015-01-15,0.08281461149454117
2015-02-15,0.13927459716796875
2015-03-15,0.1006878912448883
2015-04-15,0.16406510770320892
2015-05-15,0.16927354037761688
2015-06-15,0.17065273225307465
2015-07-15,0.23715819418430328
2015-08-15,0.24239984154701233
2015-09-15,0.297355055809021
2015-10-15,0.29713624715805054
2015-11-15,0.37768399715423584
2015-12-15,0.39938220381736755
2016-01-15,0.4284520447254181
2016-02-15,0.3315054774284363
2016-03-15,0.3089323341846466
2016-04-15,0.28288260102272034
2016-05-15,0.24083508551120758
2016-06-15,0.2594120502471924
2016-07-15,0.26880505681037903
2016-08-15,0.23429667949676514
2016-09-15,0.23197519779205322
2016-10-15,0.2260669320821762
2016-11-15,0.17674697935581207
2016-12-15,0.18447637557983398
2017-01-15,0.223305806517601
2017-02-15,0.23877903819084167
2017-03-15,0.3174777626991272
2017-04-15,0.309551864862442
2017-05-15,0.1651095151901245
2017-06-15,0.2474084347486496
2017-07-15,0.23450519144535065
2017-08-15,0.21626374125480652
2017-09-15,0.17782539129257202
2017-10-15,0.13888517022132874
2017-11-15,0.17649482190608978
2017-12-15,0.0744301974773407
2018-01-15,0.15268312394618988
2018-02-15,0.05546623095870018
2018-03-15,0.16792289912700653
2018-04-15,0.1991107016801834
2018-05-15,0.21346421539783478
2018-06-15,0.07605239003896713
2018-07-15,0.06223104149103165
2018-08-15,0.06398617476224899
2018-09-15,0.13344071805477142
2018-10-15,0.19195465743541718
2018-11-15,0.19839009642601013
2018-12-15,0.1979757845401764
2019-01-15,0.19058407843112946
2019-02-15,0.2260868102312088
2019-03-15,0.239045649766922
2019-04-15,0.24764384329319
2019-05-15,0.24568240344524384
2019-06-15,0.3780076205730438
2019-07-15,0.269782692193985
2019-08-15,0.2508407533168793
2019-09-15,0.306292861700058
2019-10-15,0.2680847942829132
2019-11-15,0.25752055644989014
2019-12-15,0.34782227873802185
2020-01-15,0.3695785403251648
2020-02-15,0.33700892329216003
2020-03-15,0.30533841252326965
2020-04-15,0.3144846260547638
